manufacturer,model,tier,rated_wp,vmp,voc,imp,isc,temp_coeff_voc_pct_per_c,efficiency_pct,cell_tech,area_m2,datasheet_url
Longi,Hi-MO7 LR5-72HTH-545M,1,545,41.0,49.3,13.29,13.95,-0.24,21.1,N-type TOPCon,2.58,https://www.longi.com/en/products/modules/himo7/
Longi,Hi-MO7 LR5-72HTH-550M,1,550,41.5,49.6,13.2,14.0,-0.24,21.3,N-type TOPCon,2.58,https://www.longi.com/en/products/modules/himo7/
Longi,Hi-MO7 LR5-72HTH-555M,1,555,41.9,49.9,13.25,14.05,-0.24,21.5,N-type TOPCon,2.58,https://www.longi.com/en/products/modules/himo7/
Longi,Hi-MO6 LR5-54HTH-425M,1,425,39.2,46.9,10.84,11.5,-0.26,21.9,N-type TOPCon,1.94,https://www.longi.com/en/products/modules/himo6/
Longi,Hi-MO6 LR5-54HTH-440M,1,440,40.1,47.8,10.97,11.62,-0.26,22.3,N-type TOPCon,1.94,https://www.longi.com/en/products/modules/himo6/
Longi,Hi-MO X10 LR5-72HGD-620M,1,620,43.8,52.6,14.16,14.9,-0.24,22.8,N-type HPBC,2.61,https://www.longi.com/en/products/modules/
Trina Solar,Vertex S+ TSM-NEG9R.28-430,1,430,39.6,47.4,10.86,11.53,-0.26,21.5,N-type TOPCon,1.96,https://www.trinasolar.com/en-glb/product/vertex-s-plus
Trina Solar,Vertex S+ TSM-NEG9R.28-440,1,440,40.3,48.1,10.92,11.6,-0.26,22.0,N-type TOPCon,1.96,https://www.trinasolar.com/en-glb/product/vertex-s-plus
Trina Solar,Vertex TSM-DE19R.08-550,1,550,41.6,49.7,13.22,14.03,-0.25,21.4,P-type PERC,2.58,https://www.trinasolar.com/en-glb/product/vertex
Trina Solar,Vertex N TSM-NEG21C.20-605,1,605,43.1,51.7,14.04,14.78,-0.24,22.1,N-type TOPCon,2.72,https://www.trinasolar.com/en-glb/product/vertex-n
Trina Solar,Vertex N TSM-NEG21C.20-615,1,615,43.5,52.2,14.14,14.9,-0.24,22.4,N-type TOPCon,2.72,https://www.trinasolar.com/en-glb/product/vertex-n
Trina Solar,Vertex N TSM-NEG21C.20-625,1,625,43.9,52.7,14.24,15.02,-0.24,22.8,N-type TOPCon,2.72,https://www.trinasolar.com/en-glb/product/vertex-n
JA Solar,DeepBlue 3.0 JAM54S31-415/MR,1,415,38.6,46.3,10.75,11.42,-0.27,21.3,N-type TOPCon,1.95,https://www.jasolar.com/html/en/
JA Solar,DeepBlue 3.0 JAM54S31-425/MR,1,425,39.4,47.1,10.79,11.48,-0.27,21.8,N-type TOPCon,1.95,https://www.jasolar.com/html/en/
